id,codigo_ibge,nome,uf
733,2917334,Iuiú,BA
734,2917359,Jaborandi,BA
735,2917409,Jacaraci,BA
736,2917508,Jacobina,BA
740,2917607,Jaguaquara,BA
742,2917706,Jaguarari,BA
743,2917805,Jaguaripe,BA
745,2917904,Jandaíra,BA
749,2918001,Jequié,BA
751,2918100,Jeremoabo,BA
750,2918209,Jiquiriçá,BA
753,2918308,Jitaúna,BA
756,2918357,João Dourado,BA
759,2918407,Juazeiro,BA
760,2918456,Jucuruçu,BA
766,2918506,Jussara,BA
767,2918555,Jussari,BA
768,2918605,Jussiape,BA
770,2918704,Lafaiete Coutinho,BA
781,2918902,Lajedão,BA
784,2919058,Lajedo do Tabocal,BA
778,2918753,Lagoa Real,BA
782,2919009,Lajedinho,BA
785,2919108,Lamarão,BA
787,2919157,Lapão,BA
789,2919207,Lauro de Freitas,BA
790,2919306,Lençóis,BA
791,2919405,Licínio de Almeida,BA
793,2919504,Livramento de Nossa Senhora,BA
834,2919553,Luís Eduardo Magalhães,BA
797,2919603,Macajuba,BA
798,2919702,Macarani,BA
799,2919801,Macaúbas,BA
800,2919900,Macururé,BA
802,2919959,Maetinga,BA
803,2920007,Maiquinique,BA
804,2920106,Mairi,BA
805,2920205,Malhada,BA
806,2920304,Malhada de Pedras,BA
810,2920403,Manoel Vitorino,BA
811,2920452,Mansidão,BA
814,2920502,Maracás,BA
815,2920601,Maragogipe,BA
817,2920700,Maraú,BA
818,2920809,Marcionílio Souza,BA
823,2920908,Mascote,BA
827,2921005,Mata de São João,BA
829,2921054,Matina,BA
832,2921203,Miguel Calmon,BA
833,2921302,Milagres,BA
839,2921401,Mirangaba,BA
840,2921450,Mirante,BA
846,2921500,Monte Santo,BA
847,2921609,Morpará,BA
851,2921708,Morro do Chapéu,BA
852,2921807,Mortugaba,BA
853,2921906,Mucugê,BA
854,2922003,Mucuri,BA
855,2922052,Mulungu do Morro,BA
856,2922102,Mundo Novo,BA
857,2922201,Muniz Ferreira,BA
858,2922250,Muquém de São Francisco,BA
864,2922508,Nazaré,BA
865,2922607,Nilo Peçanha,BA
866,2922656,Nordestina,BA
869,2922706,Nova Canaã,BA
870,2922730,Nova Fátima,BA
871,2922755,Nova Ibiá,BA
873,2922805,Nova Itarana,BA
71,2702306,Coruripe,AL
73,2702355,Craíbas,AL
875,2922854,Nova Redenção,BA
876,2922904,Nova Soure,BA
877,2923001,Nova Viçosa,BA
879,2923035,Novo Horizonte,BA
880,2923050,Novo Triunfo,BA
885,2923100,Olindina,BA
886,2923209,Oliveira dos Brejinhos,BA
891,2923308,Ouriçangas,BA
893,2923357,Ourolândia,BA
898,2923407,Palmas de Monte Alto,BA
899,2923506,Palmeiras,BA
901,2923605,Paramirim,BA
903,2923704,Paratinga,BA
904,2923803,Paripiranga,BA
908,2923902,Pau Brasil,BA
909,2924009,Paulo Afonso,BA
913,2924207,Pedro Alexandre,BA
911,2924108,Pedrão,BA
917,2924306,Piatã,BA
919,2924405,Pilão Arcado,BA
921,2924504,Pindaí,BA
922,2924603,Pindobaçu,BA
924,2924652,Pintadas,BA
926,2924678,Piraí do Norte,BA
